Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
217,ShelterRin,103.1,103.1,0.344,0.567,0.001,0.0,0.446,3.0,11.0,3,8,1,46.5,46.5,51.0,4.5,1.5,2.5,0.0,0.0,4.502,165.0,2,3,8,1,12,12,0.0,0.0,0.0
238,Progenitor,102.65,102.65,0.342,0.493,0.003,0.0,0.519,15.0,4.0,2,3,1,40.0,33.0,49.0,9.0,8.0,2.0,1.0,1.0,3.592,148.0,1,2,3,1,6,6,0.0,0.0,0.0
505,MaikaSasaki,101.31,101.31,0.338,0.525,0.003,0.5,0.47,10.5,8.5,8,3,0,50.0,26.5,60.5,10.5,8.5,1.0,1.0,1.0,4.496,143.5,2,8,3,0,11,11,0.0,0.0,0.0
268,civiltwlight,100.03,100.03,0.333,0.478,0.004,1.0,0.507,10.0,7.0,6,5,0,18.0,40.5,25.5,7.5,8.5,3.0,2.0,0.5,2.521,122.5,2,6,5,0,11,11,0.0,0.0,0.0
432,Deja_,99.44,99.44,0.331,0.471,0.002,1.333,0.511,6.667,11.0,7,9,1,47.667,17.0,51.667,4.0,6.333,1.0,1.0,0.0,4.126,137.0,3,7,9,1,17,17,0.0,0.0,0.0
376,qwecocacola,99.07,99.07,0.33,0.48,0.0,0.0,0.499,6.0,7.0,3,3,0,29.0,32.0,31.0,2.0,3.0,1.0,0.0,0.0,4.355,127.0,1,3,3,0,6,6,0.0,0.0,0.0
176,Spitzell,99.04,99.04,0.33,0.524,0.002,0.333,0.45,6.333,8.667,9,7,0,42.0,24.333,46.0,4.0,6.667,0.333,1.0,0.333,4.474,127.667,3,9,7,0,16,16,0.0,0.0,0.0
366,AitsukiNakuru,98.86,98.86,0.33,0.514,0.001,1.0,0.459,5.0,5.5,5,6,0,42.0,22.0,56.0,14.0,3.5,1.0,4.5,1.0,4.156,121.5,2,5,6,0,11,11,0.0,0.0,0.0
191,redeyes,98.41,98.41,0.328,0.515,0.001,2.0,0.453,7.0,15.0,2,3,0,52.0,17.0,72.0,20.0,3.0,3.0,4.0,0.0,4.347,134.0,1,2,3,0,5,5,0.0,0.0,0.0
79,JuliAless64,97.21,97.21,0.324,0.526,0.001,0.0,0.43,5.0,10.5,2,9,0,56.5,20.0,71.0,14.5,5.5,2.5,3.0,0.0,4.436,145.0,2,2,9,0,11,11,0.0,0.0,0.0
326,pomo,96.75,96.75,0.323,0.492,0.002,0.667,0.46,6.333,10.333,8,8,0,48.0,19.667,62.667,14.667,8.0,3.0,4.0,0.333,4.023,137.0,3,8,8,0,16,16,0.0,0.0,0.0
353,Solosion,96.13,96.13,0.32,0.517,0.002,1.667,0.427,6.667,7.0,8,7,0,33.333,34.333,36.333,3.0,6.0,0.667,1.0,0.667,4.495,128.667,3,8,7,0,15,15,0.0,0.0,0.0
244,KNotAnyMore,95.6,95.6,0.319,0.497,0.001,0.8,0.444,7.0,5.4,14,13,0,40.8,23.2,50.4,9.6,3.0,1.0,1.8,0.6,4.429,128.0,5,14,13,0,27,27,0.0,0.0,0.0
134,Jakemonkey,95.59,95.59,0.319,0.433,0.002,0.0,0.512,11.0,3.0,3,2,0,29.0,29.0,33.0,4.0,2.0,1.0,0.0,0.0,3.97,134.0,1,3,2,0,5,5,0.0,0.0,0.0
247,Shadow,95.48,95.48,0.318,0.504,0.002,0.286,0.434,7.0,4.714,19,19,0,46.571,20.571,53.0,6.571,4.143,1.143,2.0,0.143,4.433,132.429,7,19,19,0,38,38,0.0,0.0,0.0
205,TBDhater,94.85,94.85,0.316,0.496,0.001,0.333,0.437,7.333,8.333,6,10,0,55.0,16.667,66.667,11.667,4.333,1.667,1.667,0.0,4.447,143.667,3,6,10,0,16,16,0.0,0.0,0.0
356,Isekaijoucho,94.27,94.27,0.314,0.485,0.0,0.5,0.444,4.0,9.0,6,5,0,34.5,26.5,47.0,12.5,3.5,1.0,1.5,0.0,4.278,126.0,2,6,5,0,11,11,0.0,0.0,0.0
16,yahallonyanpasu,91.5,91.5,0.305,0.373,0.002,4.0,0.535,14.0,8.0,6,0,0,38.0,24.0,55.0,17.0,11.0,4.0,2.0,0.0,3.782,166.0,1,6,0,0,6,6,0.0,0.0,0.0
274,Mami,90.22,90.22,0.301,0.451,0.003,2.0,0.437,6.0,10.0,4,1,0,25.0,39.0,31.0,6.0,8.0,2.0,0.0,0.0,3.839,142.0,1,4,1,0,5,5,0.0,0.0,0.0
357,chommy,88.42,88.42,0.295,0.397,0.001,2.0,0.478,7.25,5.5,15,7,0,23.25,28.25,23.5,0.25,4.75,0.0,0.25,0.5,4.476,129.0,4,15,7,0,22,22,0.0,0.0,0.0
413,zokie,88.28,88.28,0.294,0.363,0.004,1.0,0.511,6.0,3.0,2,3,0,23.0,10.0,28.0,5.0,1.0,1.0,3.0,0.0,3.786,91.0,1,2,3,0,5,5,0.0,0.0,0.0
367,PotassiumF,88.2,88.2,0.294,0.445,0.002,0.0,0.424,7.667,5.333,11,6,1,47.0,23.667,51.667,4.667,3.0,1.333,0.0,0.333,4.624,159.333,3,11,6,1,18,18,0.0,0.0,0.0
417,YellowRose,87.7,87.7,0.292,0.424,0.002,1.25,0.44,8.25,5.0,11,11,0,40.25,19.25,48.5,8.25,4.5,1.75,1.75,0.5,4.31,139.75,4,11,11,0,22,22,0.0,0.0,0.0
121,Janoxx,86.12,86.12,0.287,0.288,0.004,2.667,0.569,12.667,3.0,9,7,1,17.667,18.0,18.0,0.333,9.333,0.333,0.0,0.333,2.485,125.333,3,9,7,1,17,17,0.0,0.0,0.0
159,legrandort,82.15,82.15,0.274,0.363,0.003,0.0,0.449,5.0,5.0,3,3,0,33.0,16.0,35.0,2.0,5.0,0.0,0.0,0.0,4.486,135.0,1,3,3,0,6,6,0.0,0.0,0.0
453,RyoutaVN,82.08,82.08,0.274,0.333,0.001,4.0,0.482,2.0,9.0,1,4,0,24.0,16.0,25.0,1.0,5.0,0.0,0.0,0.0,3.8,120.0,1,1,4,0,5,5,0.0,0.0,0.0
322,Catge,81.79,81.79,0.273,0.397,0.001,0.5,0.41,4.0,4.75,7,13,0,30.75,19.25,35.0,4.25,1.75,0.75,0.75,0.75,4.629,124.25,4,7,13,0,20,20,0.0,0.0,0.0
325,Swapin,81.33,81.33,0.271,0.393,0.001,0.0,0.41,5.0,1.0,3,2,0,29.0,17.0,41.0,12.0,9.0,3.0,3.0,0.0,4.366,117.0,1,3,2,0,5,5,0.0,0.0,0.0
419,keysha18,81.29,81.29,0.271,0.426,0.001,1.25,0.373,4.25,2.25,12,9,0,38.75,21.0,47.75,9.0,2.75,1.25,0.5,0.0,4.808,139.5,4,12,9,0,21,21,0.0,0.0,0.0
277,chemist,80.85,80.85,0.269,0.397,0.001,1.0,0.4,6.5,3.0,8,3,0,14.5,46.5,15.5,1.0,4.0,0.5,0.0,0.0,3.814,151.5,2,8,3,0,11,11,0.0,0.0,0.0
97,chaabdu92,80.76,80.76,0.269,0.338,0.003,4.0,0.461,5.0,5.0,3,2,0,31.0,13.0,40.0,9.0,6.0,4.0,1.0,0.0,4.0,130.0,1,3,2,0,5,5,0.0,0.0,0.0
334,2skr,80.26,80.26,0.268,0.362,0.001,2.6,0.433,6.0,5.0,15,11,1,29.6,19.2,32.6,3.0,6.2,0.8,0.2,0.0,4.105,133.8,5,15,11,1,27,27,0.0,0.0,0.0
489,zomg,78.39,79.928,0.261,0.307,0.003,2.571,0.471,6.857,2.286,21,17,1,20.286,19.143,25.571,5.286,6.714,1.0,0.0,0.0,3.73,126.429,7,21,17,1,39,39,0.051,0.051,0.103
259,Patoche49,79.85,79.85,0.266,0.419,0.001,0.75,0.367,4.5,4.0,15,7,0,36.5,24.0,40.0,3.5,2.0,0.25,0.5,0.25,5.222,143.75,4,15,7,0,22,22,0.0,0.0,0.0
164,IAmAsianNoob,77.67,77.67,0.259,0.418,0.0,1.5,0.347,2.5,3.0,4,8,0,39.0,30.0,44.5,5.5,2.0,0.5,1.0,0.0,5.292,165.0,2,4,8,0,12,12,0.0,0.0,0.0
393,Kyuuuu,77.54,77.54,0.258,0.367,0.001,4.0,0.399,4.5,4.5,7,5,0,46.5,12.5,57.5,11.0,4.5,0.0,1.0,0.0,4.96,160.5,2,7,5,0,12,12,0.0,0.0,0.0
451,AkatsukiKirika,76.48,76.48,0.255,0.387,0.001,0.333,0.367,2.333,3.333,6,10,0,25.333,26.0,27.333,2.0,1.333,0.333,0.333,0.667,5.419,130.333,3,6,10,0,16,16,0.0,0.0,0.0
172,oolli,75.38,75.38,0.251,0.361,0.001,4.0,0.383,5.0,3.0,4,2,0,45.0,12.0,66.0,21.0,3.0,0.0,2.0,0.0,4.606,158.0,1,4,2,0,6,6,0.0,0.0,0.0
171,JustAWeirdo,73.53,73.53,0.245,0.346,0.001,1.4,0.381,3.6,4.6,9,18,1,25.0,24.2,27.4,2.4,5.6,0.6,0.0,0.0,5.105,142.0,5,9,18,1,28,28,0.0,0.0,0.0
399,ElJuanchi,73.72,71.902,0.246,0.33,0.001,0.667,0.399,4.0,2.0,14,18,1,23.667,20.333,28.0,4.333,2.167,1.167,0.833,0.5,4.674,132.333,6,14,18,1,33,33,-0.061,-0.061,-0.121
431,Luna,71.2,71.2,0.237,0.374,0.0,2.0,0.327,2.25,4.75,12,9,0,23.0,29.5,31.75,8.75,2.0,1.0,1.5,0.0,4.547,139.5,4,12,9,0,21,21,0.0,0.0,0.0
174,TateyamaAyano,68.08,68.08,0.227,0.28,0.001,10.0,0.396,3.0,3.0,0,5,0,30.0,10.0,47.0,17.0,7.0,4.0,1.0,0.0,3.915,143.0,1,0,5,0,5,5,0.0,0.0,0.0
466,metak,67.67,67.67,0.226,0.348,0.001,2.0,0.319,2.0,3.0,3,1,1,42.0,14.0,52.0,10.0,5.0,0.0,0.0,0.0,5.404,161.0,1,3,1,1,5,5,0.0,0.0,0.0
405,anicomi,66.25,66.25,0.221,0.217,0.0,0.5,0.445,3.5,2.5,6,5,0,17.5,7.5,30.0,12.5,3.5,1.0,1.0,0.0,4.035,110.0,2,6,5,0,11,11,0.0,0.0,0.0
378,erzakuran,64.9,64.9,0.216,0.107,0.0,5.5,0.55,2.0,2.0,5,6,0,11.0,1.0,19.0,8.0,1.5,0.5,2.0,0.0,3.44,112.5,2,5,6,0,11,11,0.0,0.0,0.0
335,xeyz,65.77,63.725,0.219,0.286,0.0,2.125,0.366,2.625,1.625,19,25,0,35.375,3.75,98.375,63.0,5.875,6.25,8.625,0.0,3.799,135.375,8,19,25,0,44,44,-0.068,-0.068,-0.136
495,AppuruPai,63.36,63.36,0.211,0.326,0.0,5.0,0.299,2.0,2.0,2,3,0,31.0,12.0,48.0,17.0,3.0,3.0,0.0,0.0,4.833,132.0,1,2,3,0,5,5,0.0,0.0,0.0
225,MythAndroid,59.28,59.28,0.198,0.174,0.001,0.0,0.42,2.0,0.0,3,2,0,15.0,1.0,36.0,21.0,6.0,2.0,2.0,0.0,3.667,92.0,1,3,2,0,5,5,0.0,0.0,0.0
462,hakohoka,58.62,58.62,0.195,0.149,0.001,3.0,0.44,3.25,2.25,10,11,1,12.25,7.75,12.5,0.25,3.0,0.0,0.0,0.0,4.344,133.25,4,10,11,1,22,22,0.0,0.0,0.0
493,chiabobo,37.25,37.25,0.124,0.063,0.0,13.0,0.314,0.0,1.0,1,5,0,5.0,5.0,49.0,44.0,1.0,2.0,0.0,0.0,4.653,159.0,1,1,5,0,6,6,0.0,0.0,0.0
